市场代码,合约代码,时间,最新,持仓,增仓,成交额,成交量,开仓,平仓,成交类型,方向,买一价,卖一价,买一量,卖一量
sc,au1706,2017-02-08 21:17:26.000,278.8000,326810,-4,1673000.0000,6.0000,1,5,多平,S,278.8000,278.8500,63,30
sc,au1706,2017-02-08 21:17:26.500,278.8500,326808,-2,1115300.0000,4.0000,1,3,空平,B,278.8000,278.8500,63,29
sc,au1706,2017-02-08 21:17:27.000,278.8000,326750,-58,28437700.0000,102.0000,22,80,多平,S,278.8000,278.8500,13,30
sc,au1706,2017-02-08 21:17:27.500,278.8000,326750,0,5576000.0000,20.0000,10,10,空换,S,278.8000,278.8500,15,40
sc,au1706,2017-02-08 21:17:28.000,278.8000,326754,4,3345600.0000,12.0000,8,4,空开,S,278.8000,278.8500,10,40
sc,au1706,2017-02-08 21:17:29.000,278.8000,326752,-2,1115200.0000,4.0000,1,3,多平,S,278.8000,278.8500,41,41
sc,au1706,2017-02-08 21:17:29.500,278.8500,326746,-6,2230500.0000,8.0000,1,7,空平,B,278.8000,278.8500,45,40
sc,au1706,2017-02-08 21:17:30.000,278.8500,326748,2,557700.0000,2.0000,2,0,双开,B,278.8000,278.8500,45,36
sc,au1706,2017-02-08 21:17:31.500,278.8500,326754,6,1673100.0000,6.0000,6,0,双开,B,278.8000,278.8500,46,34
sc,au1706,2017-02-08 21:17:32.000,278.8000,326754,0,557600.0000,2.0000,1,1,空换,S,278.8000,278.8500,45,35
sc,au1706,2017-02-08 21:17:33.000,278.8000,326756,2,1115300.0000,4.0000,3,1,空开,S,278.8000,278.8500,41,47
sc,au1706,2017-02-08 21:17:33.500,278.8500,326756,0,1673000.0000,6.0000,3,3,多换,B,278.8000,278.8500,37,47
sc,au1706,2017-02-08 21:17:34.500,278.8000,326756,0,1115200.0000,4.0000,2,2,空换,S,278.8000,278.8500,26,48
sc,au1706,2017-02-08 21:17:35.000,278.8000,326758,2,557600.0000,2.0000,2,0,双开,S,278.8000,278.8500,37,36
sc,au1706,2017-02-08 21:17:35.500,278.8000,326756,-2,557600.0000,2.0000,0,2,双平,S,278.8000,278.8500,37,36
sc,au1706,2017-02-08 21:17:36.000,278.8500,326764,8,2788500.0000,10.0000,9,1,多开,B,278.8000,278.8500,37,31
sc,au1706,2017-02-08 21:17:37.500,278.8000,326762,-2,5018400.0000,18.0000,8,10,多平,S,278.8000,278.8500,41,32
sc,au1706,2017-02-08 21:17:39.500,278.8000,326760,-2,557600.0000,2.0000,0,2,双平,S,278.8000,278.8500,28,48
sc,au1706,2017-02-08 21:17:40.000,278.8000,326758,-2,1115200.0000,4.0000,1,3,多平,S,278.8000,278.8500,26,54
sc,au1706,2017-02-08 21:17:40.500,278.8000,326746,-12,3345600.0000,12.0000,0,12,双平,S,278.8000,278.8500,20,54
sc,au1706,2017-02-08 21:17:41.000,278.8000,326722,-24,26207200.0000,94.0000,35,59,多平,S,278.7500,278.8000,38,4
sc,au1706,2017-02-08 21:17:41.500,278.8000,326722,0,3903200.0000,14.0000,7,7,空换,S,278.8000,278.8500,17,43
sc,au1706,2017-02-08 21:17:42.500,278.8000,326720,-2,557600.0000,2.0000,0,2,双平,S,278.8000,278.8500,44,42
sc,au1706,2017-02-08 21:17:43.000,278.8000,326706,-14,7248800.0000,26.0000,6,20,多平,S,278.8000,278.8500,31,43
sc,au1706,2017-02-08 21:17:43.500,278.8500,326726,20,17846400.0000,64.0000,42,22,多开,B,278.8000,278.8500,33,21
sc,au1706,2017-02-08 21:17:44.000,278.8500,326724,-2,557700.0000,2.0000,0,2,双平,B,278.8000,278.8500,46,21
sc,au1706,2017-02-08 21:17:45.000,278.8000,326724,0,1672800.0000,6.0000,3,3,空换,S,278.8000,278.8500,45,21
sc,au1706,2017-02-08 21:17:45.500,278.8000,326724,0,1672800.0000,6.0000,3,3,空换,S,278.8000,278.8500,42,21
sc,au1706,2017-02-08 21:17:46.000,278.8500,326726,2,557700.0000,2.0000,2,0,双开,B,278.8000,278.8500,43,20
sc,au1706,2017-02-08 21:17:47.000,278.8000,326724,-2,557600.0000,2.0000,0,2,双平,S,278.8000,278.8500,42,20
sc,au1706,2017-02-08 21:17:47.500,278.8000,326726,2,2230400.0000,8.0000,5,3,空开,S,278.8000,278.8500,38,20
sc,au1706,2017-02-08 21:17:50.000,278.8000,326732,6,1672800.0000,6.0000,6,0,双开,S,278.8000,278.8500,39,33
sc,au1706,2017-02-08 21:17:51.500,278.8000,326740,8,2230500.0000,8.0000,8,0,双开,S,278.8000,278.8500,35,30
sc,au1706,2017-02-08 21:17:52.500,278.8000,326742,2,557600.0000,2.0000,2,0,双开,S,278.8000,278.8500,37,38
sc,au1706,2017-02-08 21:17:53.500,278.8000,326738,-4,6691200.0000,24.0000,10,14,多平,S,278.8000,278.8500,2,40
sc,au1706,2017-02-08 21:17:54.000,278.8000,326742,4,1115200.0000,4.0000,4,0,双开,S,278.7500,278.8000,31,32
sc,au1706,2017-02-08 21:17:54.500,278.8000,326744,2,2788000.0000,10.0000,6,4,空开,S,278.7500,278.8000,43,12
sc,au1706,2017-02-08 21:17:55.000,278.8000,326784,40,11709600.0000,42.0000,41,1,空开,S,278.8000,278.8500,15,52
sc,au1706,2017-02-08 21:17:56.500,278.8000,326782,-2,557600.0000,2.0000,0,2,双平,S,278.8000,278.8500,1,52
sc,au1706,2017-02-08 21:17:58.000,278.8000,326782,0,2230400.0000,8.0000,4,4,空换,S,278.8000,278.8500,24,52
sc,au1706,2017-02-08 21:17:58.500,278.8500,326784,2,557700.0000,2.0000,2,0,双开,B,278.8000,278.8500,24,51
sc,au1706,2017-02-08 21:17:59.500,278.8000,326780,-4,1115200.0000,4.0000,0,4,双平,S,278.8000,278.8500,23,53
sc,au1706,2017-02-08 21:18:01.000,278.8000,326780,0,557600.0000,2.0000,1,1,空换,S,278.8000,278.8500,26,42
sc,au1706,2017-02-08 21:18:02.500,278.8000,326780,0,1672800.0000,6.0000,3,3,空换,S,278.8000,278.8500,23,49
sc,au1706,2017-02-08 21:18:05.500,278.8000,326776,-4,3903200.0000,14.0000,5,9,多平,S,278.8000,278.8500,18,54
sc,au1706,2017-02-08 21:18:09.000,278.8000,326776,0,1115200.0000,4.0000,2,2,空换,S,278.8000,278.8500,16,58
sc,au1706,2017-02-08 21:18:10.000,278.8000,326776,0,1115300.0000,4.0000,2,2,空换,S,278.8000,278.8500,14,57
sc,au1706,2017-02-08 21:18:11.000,278.8000,326776,0,557600.0000,2.0000,1,1,空换,S,278.8000,278.8500,13,59
sc,au1706,2017-02-08 21:18:11.500,278.8000,326778,2,6133600.0000,22.0000,12,10,空开,S,278.8000,278.8500,2,59
sc,au1706,2017-02-08 21:18:12.000,278.8000,326778,0,1672800.0000,6.0000,3,3,空换,S,278.7500,278.8000,62,17
sc,au1706,2017-02-08 21:18:12.500,278.8000,326778,0,557600.0000,2.0000,1,1,空换,S,278.7500,278.8000,62,13
sc,au1706,2017-02-08 21:18:13.500,278.8000,326784,6,2788000.0000,10.0000,8,2,空开,S,278.8000,278.8500,4,71
sc,au1706,2017-02-08 21:18:14.000,278.8000,326776,-8,4460700.0000,16.0000,4,12,多平,S,278.7500,278.8500,69,71
sc,au1706,2017-02-08 21:18:15.500,278.7500,326780,4,1115000.0000,4.0000,4,0,双开,S,278.7500,278.8000,61,2
sc,au1706,2017-02-08 21:18:16.000,278.7500,326780,0,2230000.0000,8.0000,4,4,空换,S,278.7500,278.8000,57,8
sc,au1706,2017-02-08 21:18:17.500,278.8000,326782,2,557600.0000,2.0000,2,0,双开,B,278.7500,278.8000,56,25
sc,au1706,2017-02-08 21:18:18.500,278.7500,326782,0,1672500.0000,6.0000,3,3,空换,S,278.7500,278.8000,41,47
sc,au1706,2017-02-08 21:18:19.000,278.7500,326774,-8,5575000.0000,20.0000,6,14,多平,S,278.7500,278.8000,20,47
sc,au1706,2017-02-08 21:18:19.500,278.7500,326790,16,11150000.0000,40.0000,28,12,空开,S,278.7000,278.7500,53,34
sc,au1706,2017-02-08 21:18:21.500,278.7500,326794,4,1115000.0000,4.0000,4,0,双开,S,278.7000,278.7500,46,71
sc,au1706,2017-02-08 21:18:22.000,278.7000,326800,6,2229600.0000,8.0000,7,1,空开,S,278.7000,278.7500,42,71
sc,au1706,2017-02-08 21:18:23.000,278.7000,326800,0,557400.0000,2.0000,1,1,空换,S,278.7000,278.7500,46,73
sc,au1706,2017-02-08 21:18:24.500,278.7000,326800,0,1114800.0000,4.0000,2,2,空换,S,278.7000,278.7500,45,74
sc,au1706,2017-02-08 21:18:25.000,278.7000,326800,0,1672200.0000,6.0000,3,3,空换,S,278.7000,278.7500,42,75
sc,au1706,2017-02-08 21:18:25.500,278.7000,326796,-4,2229600.0000,8.0000,2,6,多平,S,278.7000,278.7500,38,75
sc,au1706,2017-02-08 21:18:26.000,278.7000,326798,2,557400.0000,2.0000,2,0,双开,S,278.7000,278.7500,37,73
sc,au1706,2017-02-08 21:18:26.500,278.7000,326798,0,1114800.0000,4.0000,2,2,空换,S,278.7000,278.7500,35,73
sc,au1706,2017-02-08 21:18:27.000,278.7000,326798,0,1672200.0000,6.0000,3,3,空换,S,278.7000,278.7500,32,74
sc,au1706,2017-02-08 21:18:27.500,278.7000,326802,4,2229600.0000,8.0000,6,2,空开,S,278.7000,278.7500,28,74
sc,au1706,2017-02-08 21:18:29.500,278.7000,326810,8,2229600.0000,8.0000,8,0,双开,S,278.7000,278.7500,24,74
sc,au1706,2017-02-08 21:18:30.000,278.7500,326816,6,1672500.0000,6.0000,6,0,双开,B,278.7000,278.7500,24,71
sc,au1706,2017-02-08 21:18:31.000,278.7000,326814,-2,557400.0000,2.0000,0,2,双平,S,278.7000,278.7500,22,71
sc,au1706,2017-02-08 21:18:32.500,278.7000,326798,-16,4459200.0000,16.0000,0,16,双平,S,278.7000,278.7500,35,72
sc,au1706,2017-02-08 21:18:33.500,278.7000,326796,-2,557400.0000,2.0000,0,2,双平,S,278.7000,278.7500,34,72
sc,au1706,2017-02-08 21:18:34.000,278.7000,326796,0,557400.0000,2.0000,1,1,空换,S,278.7000,278.7500,33,72
sc,au1706,2017-02-08 21:18:35.000,278.7500,326802,6,1672500.0000,6.0000,6,0,双开,B,278.7000,278.7500,39,69
sc,au1706,2017-02-08 21:18:35.500,278.7500,326806,4,1672500.0000,6.0000,5,1,多开,B,278.7000,278.7500,44,66
sc,au1706,2017-02-08 21:18:36.000,278.7500,326846,40,11150000.0000,40.0000,40,0,双开,B,278.7000,278.7500,46,46
sc,au1706,2017-02-08 21:18:37.500,278.7000,326848,2,2787000.0000,10.0000,6,4,空开,S,278.7000,278.7500,41,17
sc,au1706,2017-02-08 21:18:38.500,278.7500,326852,4,1115000.0000,4.0000,4,0,双开,B,278.7000,278.7500,42,5
sc,au1706,2017-02-08 21:18:40.500,278.7000,326854,2,557400.0000,2.0000,2,0,双开,S,278.7000,278.7500,64,4
sc,au1706,2017-02-08 21:18:42.000,278.7000,326854,0,557400.0000,2.0000,1,1,空换,S,278.7000,278.7500,64,4
sc,au1706,2017-02-08 21:18:43.000,278.7000,326854,0,557400.0000,2.0000,1,1,空换,S,278.7000,278.7500,63,5
sc,au1706,2017-02-08 21:18:44.500,278.7000,326856,2,557400.0000,2.0000,2,0,双开,S,278.7000,278.7500,64,6
sc,au1706,2017-02-08 21:18:45.000,278.7000,326856,0,557400.0000,2.0000,1,1,空换,S,278.7000,278.7500,63,6
sc,au1706,2017-02-08 21:18:45.500,278.7500,326856,0,557500.0000,2.0000,1,1,多换,B,278.7000,278.7500,63,6
sc,au1706,2017-02-08 21:18:54.500,278.7500,326856,0,557500.0000,2.0000,1,1,多换,B,278.7000,278.7500,82,17
sc,au1706,2017-02-08 21:18:56.000,278.7000,326856,0,557400.0000,2.0000,1,1,空换,S,278.7000,278.7500,81,15
sc,au1706,2017-02-08 21:18:57.500,278.7500,326856,0,557500.0000,2.0000,1,1,多换,B,278.7000,278.7500,81,16
sc,au1706,2017-02-08 21:19:00.500,278.7500,326858,2,557500.0000,2.0000,2,0,双开,B,278.7000,278.7500,82,18
sc,au1706,2017-02-08 21:19:03.500,278.7000,326858,0,557400.0000,2.0000,1,1,空换,S,278.7000,278.7500,82,42
sc,au1706,2017-02-08 21:19:05.000,278.7500,326860,2,557500.0000,2.0000,2,0,双开,B,278.7000,278.7500,82,43
sc,au1706,2017-02-08 21:19:07.000,278.7500,326864,4,1672500.0000,6.0000,5,1,多开,B,278.7000,278.7500,82,40
sc,au1706,2017-02-08 21:19:08.000,278.7000,326854,-10,5574000.0000,20.0000,5,15,多平,S,278.7000,278.7500,72,41
sc,au1706,2017-02-08 21:19:08.500,278.7000,326836,-18,6131500.0000,22.0000,2,20,多平,S,278.7000,278.7500,62,40
sc,au1706,2017-02-08 21:19:10.500,278.7500,326832,-4,1672500.0000,6.0000,1,5,空平,B,278.7000,278.7500,63,37
sc,au1706,2017-02-08 21:19:11.500,278.7500,326832,0,1672500.0000,6.0000,3,3,多换,B,278.7000,278.7500,63,34
sc,au1706,2017-02-08 21:19:12.000,278.7500,326832,0,1115000.0000,4.0000,2,2,多换,B,278.7000,278.7500,63,32
sc,au1706,2017-02-08 21:19:12.500,278.7000,326830,-2,557400.0000,2.0000,0,2,双平,S,278.7000,278.7500,62,32
sc,au1706,2017-02-08 21:19:13.000,278.7000,326830,0,1672200.0000,6.0000,3,3,空换,S,278.7000,278.7500,60,32
sc,au1706,2017-02-08 21:19:13.500,278.7000,326832,2,1672400.0000,6.0000,4,2,空开,S,278.7000,278.7500,59,30
sc,au1706,2017-02-08 21:19:14.000,278.7000,326830,-2,557400.0000,2.0000,0,2,双平,S,278.7000,278.7500,58,31
sc,au1706,2017-02-08 21:19:14.500,278.7500,326830,0,1115000.0000,4.0000,2,2,多换,B,278.7000,278.7500,58,29
sc,au1706,2017-02-08 21:19:15.000,278.7000,326830,0,1672200.0000,6.0000,3,3,空换,S,278.7000,278.7500,55,30
sc,au1706,2017-02-08 21:19:16.500,278.7500,326826,-4,1115000.0000,4.0000,0,4,双平,B,278.7000,278.7500,55,30
sc,au1706,2017-02-08 21:19:17.000,278.7000,326826,0,1672200.0000,6.0000,3,3,空换,S,278.7000,278.7500,52,28
sc,au1706,2017-02-08 21:19:19.000,278.7500,326826,0,8920000.0000,32.0000,16,16,多换,B,278.7500,278.8000,36,54
sc,au1706,2017-02-08 21:19:20.000,278.7500,326832,6,1672500.0000,6.0000,6,0,双开,B,278.7500,278.8000,37,61
sc,au1706,2017-02-08 21:19:22.500,278.7500,326830,-2,557500.0000,2.0000,0,2,双平,B,278.7500,278.8000,14,61
sc,au1706,2017-02-08 21:19:23.500,278.7500,326816,-14,11150000.0000,40.0000,13,27,空平,B,278.7500,278.8000,2,61
sc,au1706,2017-02-08 21:19:24.000,278.7500,326818,2,557500.0000,2.0000,2,0,双开,B,278.7500,278.8000,2,61
sc,au1706,2017-02-08 21:19:24.500,278.7500,326818,0,557500.0000,2.0000,1,1,多换,B,278.7500,278.8000,28,61
sc,au1706,2017-02-08 21:19:25.000,278.7500,326818,0,557500.0000,2.0000,1,1,多换,B,278.7500,278.8000,27,59
sc,au1706,2017-02-08 21:19:27.000,278.7500,326820,2,557500.0000,2.0000,2,0,双开,B,278.7500,278.8000,31,66
sc,au1706,2017-02-08 21:19:30.000,278.7500,326844,24,17282500.0000,62.0000,43,19,多开,B,278.7000,278.8000,75,56
sc,au1706,2017-02-08 21:19:33.500,278.7500,326846,2,557500.0000,2.0000,2,0,双开,B,278.7000,278.7500,85,51
sc,au1706,2017-02-08 21:19:35.000,278.7000,326844,-2,557400.0000,2.0000,0,2,双平,S,278.7000,278.7500,84,50
sc,au1706,2017-02-08 21:19:36.500,278.7000,326844,0,557400.0000,2.0000,1,1,空换,S,278.7000,278.7500,83,62
sc,au1706,2017-02-08 21:19:42.500,278.7000,326848,4,1114800.0000,4.0000,4,0,双开,S,278.7000,278.7500,82,64
sc,au1706,2017-02-08 21:19:45.000,278.7000,326848,0,557400.0000,2.0000,1,1,空换,S,278.7000,278.7500,94,53
sc,au1706,2017-02-08 21:19:45.500,278.7500,326852,4,1115000.0000,4.0000,4,0,双开,B,278.7000,278.7500,93,51
sc,au1706,2017-02-08 21:19:46.000,278.7500,326854,2,557500.0000,2.0000,2,0,双开,B,278.7000,278.7500,93,50
sc,au1706,2017-02-08 21:19:47.000,278.7500,326872,18,5017500.0000,18.0000,18,0,双开,B,278.7000,278.7500,93,41
sc,au1706,2017-02-08 21:19:48.500,278.7500,326878,6,1672500.0000,6.0000,6,0,双开,B,278.7000,278.7500,98,37
sc,au1706,2017-02-08 21:19:49.000,278.7500,326880,2,557500.0000,2.0000,2,0,双开,B,278.7000,278.7500,98,36
sc,au1706,2017-02-08 21:19:53.000,278.7000,326882,2,1114900.0000,4.0000,3,1,空开,S,278.7000,278.7500,107,35
sc,au1706,2017-02-08 21:19:56.000,278.7500,326906,24,19512500.0000,70.0000,47,23,多开,B,278.7500,278.8000,1,46
sc,au1706,2017-02-08 21:19:56.500,278.7500,326904,-2,1115000.0000,4.0000,1,3,空平,B,278.7500,278.8000,11,51
sc,au1706,2017-02-08 21:19:58.500,278.7500,326908,4,1672500.0000,6.0000,5,1,多开,B,278.7500,278.8000,10,51
sc,au1706,2017-02-08 21:19:59.500,278.7500,326910,2,557500.0000,2.0000,2,0,双开,B,278.7500,278.8000,11,53
sc,au1706,2017-02-08 21:20:01.000,278.7500,326910,0,1115000.0000,4.0000,2,2,多换,B,278.7500,278.8000,10,53
sc,au1706,2017-02-08 21:20:01.500,278.7500,326910,0,1672500.0000,6.0000,3,3,多换,B,278.7500,278.8000,7,53
sc,au1706,2017-02-08 21:20:02.500,278.7000,326914,4,4459900.0000,16.0000,10,6,空开,S,278.7000,278.8000,108,49
sc,au1706,2017-02-08 21:20:04.500,278.7000,326920,6,1672200.0000,6.0000,6,0,双开,S,278.7000,278.7500,105,1
sc,au1706,2017-02-08 21:20:05.000,278.7500,326918,-2,1115000.0000,4.0000,1,3,空平,B,278.7500,278.8000,43,49
sc,au1706,2017-02-08 21:20:11.000,278.8000,326920,2,1115200.0000,4.0000,3,1,多开,B,278.7500,278.8000,56,22
sc,au1706,2017-02-08 21:20:12.500,278.8000,326916,-4,7248800.0000,26.0000,11,15,空平,B,278.7500,278.8000,72,18
sc,au1706,2017-02-08 21:20:13.000,278.8000,326928,12,11709600.0000,42.0000,27,15,多开,B,278.8000,278.8500,45,68
sc,au1706,2017-02-08 21:20:14.000,278.8000,326928,0,557600.0000,2.0000,1,1,多换,B,278.8000,278.8500,24,73
sc,au1706,2017-02-08 21:20:17.000,278.8000,326938,10,2788000.0000,10.0000,10,0,双开,B,278.8000,278.8500,22,70
sc,au1706,2017-02-08 21:20:17.500,278.8000,326938,0,2788000.0000,10.0000,5,5,多换,B,278.8000,278.8500,5,70
sc,au1706,2017-02-08 21:20:18.000,278.8000,326938,0,3345600.0000,12.0000,6,6,多换,B,278.7500,278.8000,62,11
sc,au1706,2017-02-08 21:20:19.000,278.8000,326914,-24,6691200.0000,24.0000,0,24,双平,B,278.7500,278.8000,54,19
sc,au1706,2017-02-08 21:20:19.500,278.8000,326914,0,4460800.0000,16.0000,8,8,多换,B,278.7500,278.8000,54,17
sc,au1706,2017-02-08 21:20:21.500,278.8000,326914,0,557600.0000,2.0000,1,1,多换,B,278.7500,278.8000,38,26
sc,au1706,2017-02-08 21:20:22.000,278.7500,326914,0,2230000.0000,8.0000,4,4,空换,S,278.7500,278.8000,34,26
sc,au1706,2017-02-08 21:20:23.000,278.8000,326912,-2,557600.0000,2.0000,0,2,双平,B,278.7500,278.8000,40,25
sc,au1706,2017-02-08 21:20:26.500,278.8000,326910,-2,557600.0000,2.0000,0,2,双平,B,278.7500,278.8000,42,36
sc,au1706,2017-02-08 21:20:28.500,278.7500,326910,0,1672700.0000,6.0000,3,3,空换,S,278.7500,278.8000,41,36
sc,au1706,2017-02-08 21:20:30.000,278.7500,326910,0,557500.0000,2.0000,1,1,空换,S,278.7500,278.8000,41,49
sc,au1706,2017-02-08 21:20:30.500,278.8000,326910,0,557600.0000,2.0000,1,1,多换,B,278.7500,278.8000,29,48
sc,au1706,2017-02-08 21:20:31.000,278.7500,326910,0,557500.0000,2.0000,1,1,空换,S,278.7500,278.8000,28,48
sc,au1706,2017-02-08 21:20:32.000,278.7500,326878,-32,15610000.0000,56.0000,12,44,多平,S,278.7000,278.8000,114,57
sc,au1706,2017-02-08 21:20:32.500,278.8000,326880,2,557600.0000,2.0000,2,0,双开,B,278.7000,278.8000,113,56
sc,au1706,2017-02-08 21:20:33.500,278.7500,326882,2,1115000.0000,4.0000,3,1,空开,S,278.7500,278.8000,8,56
